Zaman,Tip,Strain,Piezo,Nem,Korozyon,Ax,Ay,Az,HasarSkoru,Sinif,KorozyonHizi,KorozyonUyari
2026-04-22 02:21:18.705,Hizli,-,16655,-,-,0.0,29.67,16.55,0.2191,Sağlıklı,0.000000,False
2026-04-22 02:21:18.757,Yavas,0,-,17665,17681,-,-,-,0.3907,Yorulma Başlangıcı,0.000000,False
2026-04-22 02:21:18.808,Hizli,-,16434,-,-,10.11,7.48,16.55,0.3367,Sağlıklı,0.000000,False
2026-04-22 02:21:18.859,Hizli,-,16353,-,-,10.11,-43.02,-8.28,0.3749,Yorulma Başlangıcı,0.000000,False
2026-04-22 02:21:18.912,Hizli,-,16200,-,-,10.11,-43.02,-8.28,0.3558,Yorulma Başlangıcı,0.000000,False
2026-04-22 02:21:18.964,Hizli,-,16180,-,-,10.11,-43.02,-8.28,0.3533,Yorulma Başlangıcı,0.000000,False
2026-04-22 02:21:19.015,Hizli,-,16064,-,-,10.11,-43.02,-8.28,0.3388,Sağlıklı,0.000000,False
2026-04-22 02:21:19.068,Hizli,-,16079,-,-,10.11,-43.02,-8.28,0.3407,Sağlıklı,0.000000,False
2026-04-22 02:21:19.121,Hizli,-,15988,-,-,10.11,-43.02,-8.28,0.3293,Sağlıklı,0.000000,False
2026-04-22 02:21:19.174,Hizli,-,16022,-,-,10.11,-43.02,-8.28,0.3336,Sağlıklı,0.000000,False
2026-04-22 02:21:19.227,Hizli,-,15941,-,-,10.11,-43.02,-8.28,0.3234,Sağlıklı,0.000000,False
2026-04-22 02:21:19.289,Hizli,-,15988,-,-,10.11,-43.02,-8.28,0.3293,Sağlıklı,0.000000,False
2026-04-22 02:21:19.340,Hizli,-,15910,-,-,10.11,-43.02,-8.28,0.3196,Sağlıklı,0.000000,False
2026-04-22 02:21:19.392,Hizli,-,15965,-,-,10.11,-43.02,-8.28,0.3264,Sağlıklı,0.000000,False
2026-04-22 02:21:19.443,Hizli,-,15889,-,-,10.11,-43.02,-8.28,0.3169,Sağlıklı,0.000000,False
2026-04-22 02:21:19.496,Hizli,-,15945,-,-,10.11,-43.02,-8.28,0.3239,Sağlıklı,0.000000,False
2026-04-22 02:21:19.547,Hizli,-,15874,-,-,10.11,-43.02,-8.28,0.3151,Sağlıklı,0.000000,False
2026-04-22 02:21:19.599,Hizli,-,15936,-,-,10.11,-43.02,-8.28,0.3228,Sağlıklı,0.000000,False
2026-04-22 02:21:19.650,Hizli,-,15861,-,-,10.11,-43.02,-8.28,0.3134,Sağlıklı,0.000000,False
2026-04-22 02:21:19.714,Hizli,-,15924,-,-,10.11,-43.02,-8.28,0.3213,Sağlıklı,0.000000,False
2026-04-22 02:21:19.769,Hizli,-,15852,-,-,10.11,-43.02,-8.28,0.3123,Sağlıklı,0.000000,False
2026-04-22 02:21:19.821,Hizli,-,15920,-,-,10.11,-43.02,-8.28,0.3208,Sağlıklı,0.000000,False
2026-04-22 02:21:19.876,Yavas,2708,-,17664,17679,-,-,-,0.3412,Sağlıklı,0.000000,False
2026-04-22 02:21:19.927,Hizli,-,15845,-,-,-4.6,7.48,16.55,0.2794,Sağlıklı,0.000000,False
2026-04-22 02:21:19.992,Hizli,-,15915,-,-,10.11,-43.02,-8.28,0.3406,Sağlıklı,0.000000,False
2026-04-22 02:21:20.050,Hizli,-,15840,-,-,10.11,-43.02,-8.28,0.3312,Sağlıklı,0.000000,False
2026-04-22 02:21:20.103,Hizli,-,15912,-,-,10.11,-43.02,-8.28,0.3402,Sağlıklı,0.000000,False
2026-04-22 02:21:20.164,Hizli,-,15835,-,-,10.11,-43.02,-8.28,0.3306,Sağlıklı,0.000000,False
2026-04-22 02:21:20.217,Hizli,-,15904,-,-,10.11,-43.02,-8.28,0.3392,Sağlıklı,0.000000,False
2026-04-22 02:21:20.270,Hizli,-,15831,-,-,10.11,-43.02,-8.28,0.3301,Sağlıklı,0.000000,False
2026-04-22 02:21:20.328,Hizli,-,15902,-,-,10.11,-43.02,-8.28,0.3390,Sağlıklı,0.000000,False
2026-04-22 02:21:20.382,Hizli,-,15826,-,-,10.11,-43.02,-8.28,0.3295,Sağlıklı,0.000000,False
2026-04-22 02:21:20.445,Hizli,-,15898,-,-,10.11,-43.02,-8.28,0.3385,Sağlıklı,0.000000,False
2026-04-22 02:21:20.499,Hizli,-,15821,-,-,10.11,-43.02,-8.28,0.3289,Sağlıklı,0.000000,False
2026-04-22 02:21:20.551,Hizli,-,15893,-,-,10.11,-43.02,-8.28,0.3379,Sağlıklı,0.000000,False
2026-04-22 02:21:20.607,Hizli,-,15815,-,-,10.11,-43.02,-8.28,0.3281,Sağlıklı,0.000000,False
2026-04-22 02:21:20.660,Hizli,-,15887,-,-,10.11,-43.02,-8.28,0.3371,Sağlıklı,0.000000,False
2026-04-22 02:21:20.713,Hizli,-,15808,-,-,10.11,-43.02,-8.28,0.3272,Sağlıklı,0.000000,False
2026-04-22 02:21:20.775,Hizli,-,15885,-,-,10.11,-43.02,-8.28,0.3369,Sağlıklı,0.000000,False
2026-04-22 02:21:20.831,Hizli,-,15802,-,-,10.11,-43.02,-8.28,0.3265,Sağlıklı,0.000000,False
2026-04-22 02:21:20.892,Hizli,-,15879,-,-,10.11,-43.02,-8.28,0.3361,Sağlıklı,0.000000,False
